,index,image_path,label
0,0,./data/images/0.jpg,0
1,1,./data/images/1.jpg,4
2,2,./data/images/2.jpg,5
3,3,./data/images/4.jpg,0
4,4,./data/images/7.jpg,4
5,5,./data/images/8.jpg,1
6,6,./data/images/9.jpg,5
7,7,./data/images/10.jpg,2
8,8,./data/images/12.jpg,5
9,9,./data/images/13.jpg,2
10,10,./data/images/15.jpg,2
11,11,./data/images/16.jpg,3
12,12,./data/images/17.jpg,3
13,13,./data/images/18.jpg,2
14,14,./data/images/19.jpg,5
15,15,./data/images/20.jpg,4
16,16,./data/images/21.jpg,4
17,17,./data/images/23.jpg,1
18,18,./data/images/24.jpg,2
19,19,./data/images/26.jpg,5
20,20,./data/images/27.jpg,4
21,21,./data/images/29.jpg,5
22,22,./data/images/31.jpg,5
23,23,./data/images/32.jpg,3
24,24,./data/images/33.jpg,5
25,25,./data/images/34.jpg,3
26,26,./data/images/35.jpg,5
27,27,./data/images/36.jpg,5
28,28,./data/images/37.jpg,5
29,29,./data/images/39.jpg,5
30,30,./data/images/40.jpg,2
31,31,./data/images/41.jpg,1
32,32,./data/images/42.jpg,3
33,33,./data/images/43.jpg,2
34,34,./data/images/44.jpg,3
35,35,./data/images/45.jpg,5
36,36,./data/images/46.jpg,1
37,37,./data/images/47.jpg,0
38,38,./data/images/48.jpg,1
39,39,./data/images/49.jpg,1
40,40,./data/images/50.jpg,5
41,41,./data/images/53.jpg,0
42,42,./data/images/54.jpg,2
43,43,./data/images/55.jpg,0
44,44,./data/images/56.jpg,5
45,45,./data/images/57.jpg,2
46,46,./data/images/58.jpg,3
47,47,./data/images/59.jpg,4
48,48,./data/images/60.jpg,2
49,49,./data/images/62.jpg,4
50,50,./data/images/65.jpg,4
51,51,./data/images/66.jpg,0
52,52,./data/images/67.jpg,2
53,53,./data/images/68.jpg,2
54,54,./data/images/71.jpg,3
55,55,./data/images/74.jpg,5
56,56,./data/images/75.jpg,2
57,57,./data/images/78.jpg,4
58,58,./data/images/80.jpg,5
59,59,./data/images/82.jpg,2
60,60,./data/images/83.jpg,5
61,61,./data/images/85.jpg,3
62,62,./data/images/86.jpg,5
63,63,./data/images/87.jpg,4
64,64,./data/images/89.jpg,4
65,65,./data/images/90.jpg,4
66,66,./data/images/91.jpg,5
67,67,./data/images/92.jpg,0
68,68,./data/images/94.jpg,5
69,69,./data/images/95.jpg,3
70,70,./data/images/96.jpg,0
71,71,./data/images/97.jpg,4
72,72,./data/images/98.jpg,1
73,73,./data/images/100.jpg,2
74,74,./data/images/102.jpg,4
75,75,./data/images/104.jpg,5
76,76,./data/images/105.jpg,2
77,77,./data/images/106.jpg,5
78,78,./data/images/107.jpg,4
79,79,./data/images/108.jpg,5
80,80,./data/images/109.jpg,2
81,81,./data/images/111.jpg,1
82,82,./data/images/112.jpg,0
83,83,./data/images/113.jpg,5
84,84,./data/images/114.jpg,1
85,85,./data/images/115.jpg,1
86,86,./data/images/116.jpg,4
87,87,./data/images/118.jpg,3
